diseaseId,diseaseName,entrezGeneIds
C0036095,salivary gland neoplasms,1462|1612|182|2011|2019|2175|2195|23209|23543|23619|259266|2620|2621|27344|2982|3485|358|3691|3852|3866|4082|50805|51477|51514|51659|5174|5176|53335|54441|54531|5587|57419|5834|595|6484|6651|6659|6664|7153|80303|81029|81831|9454|9700|999
C0033941,psychoses - substance-induced,135|1636|207|2099|2912|2950|3350|3362|4886|4988|5245|6531|6622|6648|816|8787|9463
C0043459,zellweger syndrome,3295|5189|5190|5192|5193|5194|5195|55670|5824|5825|5828|5830|8504|8799|9409|8800
C0033860,psoriasis,100271719|10318|10498|10547|10758|10866|117289|125893|1356|1401|140454|1437|149233|163702|23586|2524|2706|285626|29785|3107|338442|348|353143|353144|3553|3565|3569|3593|3596|359825|400957|4288|4792|4843|503613|5111|51561|51752|5271|54620|5468|55350|55770|55905|57178|5966|5972|5980|6278|63869|63870|64135|643749|64478|65245|6648|6773|6774|7039|7124|7128|7157|7297|7422|7889|79092|81890|831|84648|847|85463|864|8651|8875|8876|90134|9232|9692|9825|9844|26525|130340
C0027726,nephrotic syndrome,1277|1282|1284|2|213|2152|2247|2262|2981|3123|3291|3558|462|4690|5054|6648|7018|7040|7827|8440|914
C0338480,common migraine,221692|23063|23245|338342|4035|4209|6863|79054|796|79783|9457|9910
C0026636,mouth diseases,10036|2189|2937|3301|51182|54541|56603|5743|6283|672|8208|9518
C1838979,mitochondrial complex i deficiency,126328|137682|25915|29078|374291|4535|4536|4537|4538|4540|4541|4570|4694|4709|4715|4719|4720|4722|4723|4724|4726|4728|4729|51103|55572|79133|80224|91942|4700|4714|4716|51300|54539|55863|60528
C0236969,substance-related disorders,1012|10160|10207|10257|105|1080|11278|1129|1138|114134|114786|114788|121601|1268|140683|140733|143098|143379|143458|143503|147685|1565|1653|167465|1769|1793|1813|1826|1962|2120|2166|2272|22925|22998|23034|23214|23307|23345|253782|25807|259217|26230|27146|2893|2898|29119|29126|2915|2917|29922|344805|3643|3899|3983|401207|4482|4646|481|4852|4897|4985|5087|51082|51151|5137|51660|5366|54927|55198|55297|55690|55691|55717|55742|5581|5583|55930|57451|5768|57733|5890|64131|64478|64866|65217|6532|6555|6581|7260|79632|79750|79809|79875|80031|80034|80095|80206|8048|81035|83938|8412|84247|84668|84871|8569|9128|91752|9271|93664|9369|9465|9547|9557|9748
C0002878,anemia - hemolytic,2056|2539|2729|2821|2936|3043|3162|3440|3704|6521|6710|7167|1282|27102
