drugName,entrezGeneIds,pubmedId
lepirudin,2147|2149|5340,11055889|10912644|11807012|11467439|10505536|11752352|16038707|15894352
cetuximab,2213|716|2212|2215|1956|713|712|2214|714|2209|9103|715|2638|5290|4893|137492|5728|2066|1950|3845|10718|11156|5604|374|673|2069|1839|4233|2064|3084|5979|685|7039|3417|9542|4771|207|7157|4089|627|11320|595|4907|3576|2065|3265|2263|3791,17016423|17139284|17704420|16336752|11431346|11752352|10480573|10601294|10628369|11408594|7547242|29208668|20619739|19223544|25838391|27002107|28179366|25605843|22016507|21163703|27207775|23959273|16788380|27897268|18349392|26812186|19075190|19255327|22734028|23182985|21228335|17384584|26623049|2278970|19114683|21398618|20921465|18316791|19679400|18794081|21975775|16361624|16618717|19773371|26371285|24558511|3122217|16434492|19018267|20921462|25157968|12460918|20978259|22407852|22392911|23406027|26715098|26666244|25714871|26341921|27458141|28280091|24304820|18202412|28632865|27312529|20570890|19064407|23867504|26644315|23374602|29196463|24653627|24934779|26888827|28287083|18003960|22152101|22270724|24894453|18794099|19001320|19603018|31566309|28363909|26989027|19571295|22281684|28972961|19603024|22180495|27729313|31515458|28424201|26438111|28783719|26208524|26287849|26916115|24523613|23729478|22586653|26296355|28223103|24024839|23325582|22537608|26162609|25183481|23071293|23324806|25210463|23090619|24727325|23296156|28719596|30318772|27149458|28446642|25724520|21900593|22199315|26059438|25623215|23948973|26243863|23020132|22608338|26619011|21483012|22351686|21156289|20368568|22048237|19561230|19010912|23549875|25024077|23489023|18541894|24586605|24508103|22773810|23833300|23812671|24576830|19238210|20818844|23612012|23251002|22356324|20857202|22536370|22997239|15035987|23470635|21663470|24594804|22586120|20413299|22805292|19537845|14679157|22663011|22038996|22448344|12068308|24163374|24354346|24583796|23031422|22735384|21683865|25370471|21639808|22649091|22241789|24570209|23918947|25989278|22389471|23934108|23524406|26678033|24388723|23845441|23614898|12460919|24107445|21594703|20350999|20630094|21426297|19404918|22743296|24396464|22972589|21129611|25673644|23404247|22722830|25666295|18946061|28275037|20956938|22246397|21575616|24957073|26046389|16651634|26222057|19455431|22452896|23102728|20068085|16707764|17653080|15710947|20479403|25668228|16912157|24893891|15728811|20573926|16258541|19692680|15118125|18227510|24658966|18199554|19922469|20033049|26515464|25923549|21783417|19692684|22753918|16187797|22452895|23945392|15329413|24636847|23816963|24729716|23816960|22285168|19096302|16204070|16043828|22215752|21194487|24065731|15118073|20022809|23948351|16115929|18458038|17332364|24623981|19147750|16011858|21430269|23578570|2302402|15737014|26720284|21670455|21233402|23242437|25923550|22588155|21531810|18303429|19671738|18089823|22117530|25520391|27102076|27216155|24063894|27251290|26843189|24813888|25948633|24141978|15908664|22797062|25677871
denileukin diftitox,3560|3559|3561|3595,18684057|17187516|11752352|16516670|15811959|17139284|3124610|2786749|17016423|11707860
etanercept,2213|2212|716|2209|713|715|7133|712|2214|714|4049|2215|7124|9103|170679|514|5788|1437|53919|3123|3593|7185|6775|3824|7132|51738|3569|8832|3133,17016423|17139284|15526004|15457442|11752352|15695296|15005015|15033655|1328224|11302411|10800083|17387033|10206649|10375846|10357816|10405518|10338381|7535196|26307125|20309874|23007924|12906870|25493569|23651021|25403996|28470127|24048425|27044681|30075559|16720636|16909270|23057546|26244882|12847678|18050183|18713756|19365401|22760475|24192118|17343250|22960943|22129793|12190096|18438841|26453102|22480748|18400355|24253594|27564082
bivalirudin,2147,11752352|11833835|11060732|11923794|11929334|11504570
leuprolide,2798|367|2796|1557|1565|1544|1559|1576,9625809|10687850|16809153|15758569|10394541|29211833|22931300
peginterferon alfa-2a,3454|3455|949|3105|4277|101180976|3704|2030|7421|3106|282617|3440|811|3569|3949|1956|3627,15898717|16953837|19955815|11752352|23360626|22863269|31201901|20578254|21374656|25534433|23490377|21993426|24072198|21447862|25958342|20804372|20399780|25080450|26284539|28261910|26902034|20621700|20648473|19684573|23142377|21726252|24117654|23321318|21911885|30450628|22345656|24768758|21606533|23383658|21537116|26032235|21572301|28072888|27714501|28453395|27498543|21145807|24602923|24308755|20728570|20964522|27514956|21068134|29369421|25918016|24907224|24102823|21246582|27833958|28703131|27027531|22438096|21951981|21907615|21112657|30016335|21466653|28739427|25713999|20812847|23281610|26186989|21346780|21390311|23730840|26003758|21254157|21112660|24929144|25769643|21360545|21745312|24096968|21384511|22301466|22328925|20060832|21739446|21503910|21987611|24355007|26825765|24362944|19749758|20434452|25287681|19749757|26486786
alteplase,5340|2243|5054|5329,19436656|11752352|18673235|17963464|17016423|17139284
sermorelin,2692,11752352|14499707
interferon alfa-n1,3454|3455,17016423|11752352|17139284|10822464|19955815
darbepoetin alfa,2057,11752352|16505108|17575216
urokinase,6768|5054|4036|5340|5055|5327|5328|5329|5104|4811,12815039|14747469|12785198|12709915|12745435|12579271|12642587|7959795|17016423|1280065|17139284|8241286|12666133|12719778|12658774|12720300|11752352|15351849|15944795|15277569|15640330|16327990|14507109|12787697|12893898|12826021|12556741|12707394|12824001|12817472|17327908|12615913|14679304|14688365|14720519|14645112|17434507|17253188|1499567
goserelin,2798|3973|2099|2100|2796|4654|5241,20053189|17016423|17139284|17095559
reteplase,5340|2243|5054|5329,19436656|11752352|18673235|17963464|17016423|17139284
erythropoietin,2057|4780|4907|5788|627|2952|1027|7941|174|1026|5327|3265|1432|2395,11752352|16505108|17575216|16707229|16468051|1713254|15816864|15595630|11023508|16421163|9016855|10682118|9104820|10590051|16269021
salmon calcitonin,799|10267,11752352|9231703|7610922|3004987
interferon alfa-n3,3454|3455|3439,15898717|17016423|11752352|17139284|19955815|16953837
pegfilgrastim,1991|1441,15353486|12958067|16245075|17475913|14657210|16033816|12944913|17001306|15949269|15082029|17127322
sargramostim,5553|3563|6383|1438|1439,16522458|17600316|17383764|17500228|16698686|17562355|17522711|17016423|17139284|10734053|11752352|17090651|16760463|16638185|1424804
secretin,6344,17016423|11752352|17139284
peginterferon alfa-2b,3454|3455|3105|3704|3107|8638|1594|282617|3627|3113|3949|7421|1956|3440|3106|9153|4277|100132285|2030|6532|3620|101180976|120227|3569,17016423|11752352|17139284|15898717|16953837|19955815|23360626|26441325|23730840|21274861|26916827|26670100|20173735|26071337|23707372|26438033|21246582|27833958|20547162|21503919|20637204|21993426|21145801|22863269|23281610|26186989|20578254|21346780|21374656|25534433|23490377|21390311|24072198|21447862|25958342|20804372|26003758|21254157|20399780|21112660|25080450|24929144|26284539|28261910|26902034|25769643|20621700|20648473|19684573|21360545|21745312|23142377|21726252|24117654|23321318|21911885|30450628|22345656|24768758|24096968|21384511|22301466|21606533|23383658|21537116|26032235|21572301|28072888|27714501|22328925|27498543|21145807|24602923|24308755|20728570|20964522|27514956|21068134|29369421|20060832|25918016|24907224|24102823|21739446|21503910|21987611|24355007|28703131|26825765|24362944|19749758|22438096|20434452|25287681|22626609|21951981|21907615|21112657|21466653|28739427|19749757|26387494|26975229|20812847|27027531
thyrotropin alfa,7253|2492,9039330|15571461|11752352|21121812
antihemophilic factor (recombinant),2158|7450|2159|3309|821|811|433|3998|5264|4035|90411,6422634|932529|2994716|1119107|14240634|2942172|14750934|2128855|10938981|11858481|13801371|6436416|236567|11891806|14285227|17016423|9607108|17139284|9525969|15213841|17899080|15946216|14629470|14726380|11574539|21391865|15886209
anakinra,3554|7850|114548,17083033|10210771|11752352|12355453|12817089|17352828|17498496|14872505
immune globulin human,2213|2212|2209|2214|2215|727|718|9103|721|2210|720,17911465|20441428|17351760
anistreplase,5340|2243|5054|5329,19436656|11752352|18673235|17963464|17016423|17139284
