uniprotIdA,uniprotIdB,entrezGeneIdA,entrezGeneIdB,ensemblIdA,ensemblIdB,hgncSymbolA,hgncSymbolB,detectionMethod,interactionType,pubmedId,author,reliabilityScore
O00206,Q9Y6Y9,7099,23643,ENSG00000136869,ENSG00000154589,TLR4,LY96,anti tag coimmunoprecipitation|solid phase assay|surface plasmon resonance|biotin tag|affinity chromatography technology|nuclear magnetic resonance|surface plasmon resonance array,physical association,10359581|11435474|15557191|17056597|11976338|16272300|11160242|15694388|14607928|12960171|15728506|11593030|22433852|24097189,Shimazu et al. (1999)|Schromm et al. (2001)|Hyakushima et al. (2004)|Nishitani et al. (2006)|Re et al. (2002)|Visintin et al. (2005)|Dziarski et al. (2001)|Nishitani et al. (2005)|Re et al. (2003)|Visintin et al. (2003)|Hasan et al. (2005)|Visintin et al. (2001)|Yu et al. (2012)|Qiang et al. (2013),0.69
O00206,Q99836,7099,4615,ENSG00000136869,ENSG00000172936,TLR4,MYD88,anti tag coimmunoprecipitation|gst pull down|two hybrid|affinity chromatography technology,physical association,17228323|12888566|15728506|17126326|9625770|12646618|19717524|21829704,Chaudhary et al. (2007)|Dunne et al. (2003)|Hasan et al. (2005)|Evdonin et al. (2006)|Muzio et al. (1998)|Doyle et al. (2003)|Kenny et al. (2009)|Sakaguchi et al. (2011),0.64
Q99836,Q9NWZ3,4615,51135,ENSG00000172936,ENSG00000198001,MYD88,IRAK4,two hybrid|anti tag coimmunoprecipitation|pull down|x-ray crystallography,physical association,12860405|15084582|17486091|11960013|12150927|19167362|20966070|20485341|15905496,Strelow et al. (2003)|Qin et al. (2004)|Pathak et al. (2007)|Li et al. (2002)|Kobayashi et al. (2002)|Mendoza-Barberá et al. (2009)|George et al. (2010)|Lin et al. (2010)|Medvedev et al. (2005),0.66
P51617,Q9NWZ3,3654,51135,ENSG00000184216,ENSG00000198001,IRAK1,IRAK4,two hybrid|anti tag coimmunoprecipitation|in-gel kinase assay,physical association|phosphorylation reaction,12860405|17276401|12538665|15084582|11960013|21903422|15905496,Strelow et al. (2003)|Neumann et al. (2007)|Burns et al. (2003)|Qin et al. (2004)|Li et al. (2002)|Li et al. (2011)|Medvedev et al. (2005),0.64
Q9HAT8,Q9NWZ3,57161,51135,ENSG00000139946,ENSG00000198001,PELI2,IRAK4,anti tag coimmunoprecipitation,physical association,12860405,Strelow et al. (2003),0.37
Q15750,Q9Y4K3,10454,7189,ENSG00000100324,ENSG00000175104,TAB1,TRAF6,anti tag coimmunoprecipitation,physical association,10882101,Takaesu et al. (2000),0.37
Q9Y6Q6,Q9Y4K3,8792,7189,ENSG00000141655,ENSG00000175104,TNFRSF11A,TRAF6,anti tag coimmunoprecipitation|gst pull down,physical association,9685412|10025951|11406619|11809792,Darnay et al. (1998)|Kim et al. (1999)|Arron et al. (2001)|Mizukami et al. (2002),0.51
Q9HAV5,Q9Y4K3,60401,7189,ENSG00000131080,ENSG00000175104,EDA2R,TRAF6,gst pull down|anti tag coimmunoprecipitation,physical association,12060722|12270937,Naito et al. (2002)|Sinha et al. (2002),0.43
P25942,Q9Y4K3,958,7189,ENSG00000101017,ENSG00000175104,CD40,TRAF6,anti tag coimmunoprecipitation|gst pull down|pull down,physical association,10748240|9990007|16260598|12637493|17332487|9718306|20676093,Schwandner et al. (2000)|Tsukamoto et al. (1999)|Davies et al. (2005)|Deregibus et al. (2003)|Zirlik et al. (2007)|Pullen et al. (1998)|He et al. (2010),0.62
Q99558,Q9Y4K3,9020,7189,ENSG00000006062,ENSG00000175104,MAP3K14,TRAF6,anti tag coimmunoprecipitation,physical association,10921914,Mochida et al. (2000),0.37
