uniprotIdA,uniprotIdB,entrezGeneIdA,entrezGeneIdB,ensemblIdA,ensemblIdB,hgncSymbolA,hgncSymbolB,detectionMethod,interactionType,pubmedId,author,reliabilityScore
O14893,Q16637,8487,6606,ENSG00000092208,ENSG00000172062,GEMIN2,SMN1,two hybrid|coimmunoprecipitation|pull down|filter binding|anti bait coimmunoprecipitation|tandem affinity purification,physical association|direct interaction|association,21900206|9323129|11714716|24981860,Vinayagam et al. (2011)|Liu et al. (1997)|Gubitz et al. (2002)|Marcon et al. (2014),0.72
Q16637,Q8IY18,6606,23137,ENSG00000172062,ENSG00000198887,SMN1,SMC5,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
Q16637,Q9HB58,6606,3431,ENSG00000172062,ENSG00000135899,SMN1,SP110,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
P50224,Q16637,,6606,,ENSG00000172062,,SMN1,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
P55854,Q16637,6612,6606,ENSG00000184900,ENSG00000172062,SUMO3,SMN1,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
Q15572,Q16637,9013,6606,ENSG00000103168,ENSG00000172062,TAF1C,SMN1,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
Q04724,Q16637,7088,6606,ENSG00000196781,ENSG00000172062,TLE1,SMN1,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
P62328,Q16637,7114,6606,ENSG00000205542,ENSG00000172062,TMSB4X,SMN1,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
P04637,Q16637,7157,6606,ENSG00000141510,ENSG00000172062,TP53,SMN1,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
Q16637,Q8IZ69,6606,27037,ENSG00000172062,ENSG00000099899,SMN1,TRMT2A,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
Q16637,Q71U36,6606,7846,ENSG00000172062,ENSG00000167552,SMN1,TUBA1A,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
Q13509,Q16637,10381,6606,ENSG00000258947,ENSG00000172062,TUBB3,SMN1,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
Q13432,Q16637,9094,6606,ENSG00000109103,ENSG00000172062,UNC119,SMN1,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
Q13107,Q16637,7375,6606,ENSG00000114316,ENSG00000172062,USP4,SMN1,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
Q16637,Q9BV38,6606,57418,ENSG00000172062,ENSG00000065268,SMN1,,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
Q16637,Q6P4I2,6606,84942,ENSG00000172062,ENSG00000177082,SMN1,WDR73,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
O95785,Q16637,58525,6606,ENSG00000011451,ENSG00000172062,,SMN1,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
Q05516,Q16637,7704,6606,ENSG00000109906,ENSG00000172062,ZBTB16,SMN1,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
Q16637,Q8TF32,6606,170959,ENSG00000172062,ENSG00000196705,SMN1,,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
Q16637,Q2QGD7,6606,79364,ENSG00000172062,ENSG00000070476,SMN1,ZXDC,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
O00161,P43243,8773,9782,ENSG00000092531,ENSG00000015479,SNAP23,MATR3,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
O00161,O75558,8773,8676,ENSG00000092531,ENSG00000135604,SNAP23,STX11,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
O00161,Q6VEQ5,8773,,ENSG00000092531,,SNAP23,,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
P04217,P37840,1,6622,ENSG00000121410,ENSG00000145335,A1BG,SNCA,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
P37840,P51693,6622,333,ENSG00000145335,ENSG00000105290,SNCA,APLP1,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
P11802,P37840,1019,6622,ENSG00000135446,ENSG00000145335,CDK4,SNCA,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
P37840,Q96N67,6622,85440,ENSG00000145335,ENSG00000116641,SNCA,DOCK7,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
P37840,P68104,6622,1915,ENSG00000145335,ENSG00000156508,SNCA,EEF1A1,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
O75821,P37840,8666,6622,ENSG00000130811,ENSG00000145335,EIF3G,SNCA,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
P04406,P37840,2597,6622,ENSG00000111640,ENSG00000145335,GAPDH,SNCA,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
P37840,Q5VU43,6622,9659,ENSG00000145335,ENSG00000178104,SNCA,PDE4DIP,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
P37840,Q9BRK5,6622,51150,ENSG00000145335,ENSG00000078808,SNCA,SDF4,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
O95149,Q16643,10073,1627,ENSG00000169371,ENSG00000113758,SNUPN,DBN1,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
O95149,Q6ZN04,10073,84206,ENSG00000169371,ENSG00000183496,SNUPN,MEX3B,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
O95149,Q9BV68,10073,55658,ENSG00000169371,ENSG00000070423,SNUPN,RNF126,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
P63104,Q9Y343,7534,28966,ENSG00000164924,ENSG00000064652,YWHAZ,,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
P09486,P12956,6678,2547,ENSG00000113140,ENSG00000196419,SPARC,XRCC6,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
P09486,Q8NAF0,6678,163033,ENSG00000113140,ENSG00000218891,SPARC,,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
O43597,Q9BY42,10253,51507,ENSG00000136158,ENSG00000022277,SPRY2,,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
O43597,Q8IW50,10253,203259,ENSG00000136158,ENSG00000164970,SPRY2,,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
O43597,P52943,10253,1397,ENSG00000136158,ENSG00000182809,SPRY2,CRIP2,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
O43597,Q14194,10253,1400,ENSG00000136158,ENSG00000072832,SPRY2,CRMP1,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
O43597,P04080,10253,1476,ENSG00000136158,ENSG00000160213,SPRY2,CSTB,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
O43597,P07858,10253,1508,ENSG00000136158,ENSG00000164733,SPRY2,CTSB,two hybrid,physical association,21900206,Vinayagam et al. (2011),0.34
P07237,Q8TCT9,5034,81502,ENSG00000185624,ENSG00000101294,P4HB,HM13,anti bait coimmunoprecipitation,physical association,19942855,Lee et al. (2010),0.37
P07237,P30101,5034,2923,ENSG00000185624,ENSG00000167004,P4HB,PDIA3,fluorescence microscopy|imaging technique,colocalization,19942855|17170699,Lee et al. (2010)|Jessop et al. (2007),0.35
Q86WX3,Q96EB6,91582,23411,ENSG00000187051,ENSG00000096717,RPS19BP1,SIRT1,anti bait coimmunoprecipitation,physical association,24681097,Kokkola et al. (2014),0.37
P23258,Q96RT8,7283,114791,ENSG00000131462,ENSG00000275835,TUBG1,TUBGCP5,anti tag coimmunoprecipitation,association,27015882,Ohashi et al. (2016),0.32
P23258,Q9UGJ1,7283,27229,ENSG00000131462,ENSG00000137822,TUBG1,TUBGCP4,anti tag coimmunoprecipitation,association,27015882,Ohashi et al. (2016),0.32
P23258,Q96CW5,7283,10426,ENSG00000131462,ENSG00000126216,TUBG1,TUBGCP3,anti tag coimmunoprecipitation,association,27015882,Ohashi et al. (2016),0.32
P23258,Q9BSJ2,7283,10844,ENSG00000131462,ENSG00000130640,TUBG1,TUBGCP2,anti tag coimmunoprecipitation,association,27015882,Ohashi et al. (2016),0.32
Q96RT8,Q9NRH3,114791,27175,ENSG00000275835,ENSG00000037042,TUBGCP5,TUBG2,anti tag coimmunoprecipitation,association,27015882,Ohashi et al. (2016),0.32
Q9NRH3,Q9UGJ1,27175,27229,ENSG00000037042,ENSG00000137822,TUBG2,TUBGCP4,anti tag coimmunoprecipitation,association,27015882,Ohashi et al. (2016),0.32
Q96CW5,Q9NRH3,10426,27175,ENSG00000126216,ENSG00000037042,TUBGCP3,TUBG2,anti tag coimmunoprecipitation,association,27015882,Ohashi et al. (2016),0.32
Q9BSJ2,Q9NRH3,10844,27175,ENSG00000130640,ENSG00000037042,TUBGCP2,TUBG2,anti tag coimmunoprecipitation,association,27015882,Ohashi et al. (2016),0.32
O95140,Q9Y512,9927,25813,ENSG00000116688,ENSG00000100347,MFN2,SAMM50,anti tag coimmunoprecipitation,physical association,27059175,Liu et al. (2016),0.37
Q13616,Q9UKC9,8454,25827,ENSG00000055130,ENSG00000153558,CUL1,FBXL2,anti bait coimmunoprecipitation,association,26790640,Li et al. (2016),0.32
P63208,Q9UKC9,6500,25827,ENSG00000113558,ENSG00000153558,SKP1,FBXL2,anti bait coimmunoprecipitation,association,26790640,Li et al. (2016),0.32
Q08050,Q9UKC9,2305,25827,ENSG00000111206,ENSG00000153558,FOXM1,FBXL2,anti bait coimmunoprecipitation,association,26790640,Li et al. (2016),0.32
