drugName,entrezGeneIds,pubmedId,author
lepirudin,2147,11055889|10912644|11807012|11467439|10505536|11752352,Eriksson BI (2000)|Warkentin TE (2000)|Szaba FM (2002)|Fabrizio MC (2001)|Turpie AG (1999)|Chen X (2002)
cetuximab,2213|716|2212|2215|1956|713|712|2214|714|2209|9103|715,17016423|17139284|17704420|16336752|11431346|11752352|10480573|10601294|10628369|11408594|7547242,Imming P (2006)|Overington JP (2006)|Zhang W (2007)|Snyder LC (2005)|Viloria-Petit A (2001)|Chen X (2002)|Hosokawa N (1999)|Wakita H (1999)|Suwa T (2000)|Burke P (2001)|Negri DR (1995)
denileukin diftitox,3560|3559|3561,18684057|17187516|11752352|16516670|15811959|17139284|3124610|2786749|17016423|11707860,Duvic M (2008)|Turturro F (2007)|Chen X (2002)|Foss F (2006)|Foss F (2005)|Overington JP (2006)|Murphy JR (1988)|Kiyokawa T (1989)|Imming P (2006)|Foss FM (2000)
etanercept,2213|2212|716|2209|713|715|7133|712|2214|714|4049|2215|7124|9103,17016423|17139284|15526004|15457442|11752352|15695296|15005015|15033655|1328224|11302411|10800083|17387033|10206649|10375846|10357816|10405518|10338381|7535196,Imming P (2006)|Overington JP (2006)|Hughes LB (2004)|Criswell LA (2004)|Chen X (2002)|Kang CP (2005)|Gudbrandsdottir S (2004)|Buch MH (2004)|Pennica D (1992)|Johnson CJ (2001)|Hart SP (2000)|Ozgocmen S (2007)|Park YC (1999)|Moreland LW (1999)|Grell M (1999)|Calabrese LH (1999)|Sandborn WJ (1999)|Ranheim EA (1995)
bivalirudin,2147,11752352|11833835|11060732|11923794|11929334|11504570,Chen X (2002)|Gladwell TD (2002)|Scatena R (2000)|Kleiman NS (2002)|Carswell CI (2002)|Bates ER (2001)
leuprolide,2798,9625809|10687850|16809153|15758569|10394541,Imai A (1998)|Borroni R (2000)|Castellon E (2006)|Murase M (2005)|Khurana KK (1999)
peginterferon alfa-2a,3454|3455,15898717|16953837|19955815|11752352,Dhalluin C (2005)|Yano H (2006)|Ishii K (2009)|Chen X (2002)
alteplase,5340|2243|5054|5329,19436656|11752352|18673235|17963464|17016423|17139284,Melandri G (2009)|Chen X (2002)|Longstaff C (2008)|Hilleman DE (2007)|Imming P (2006)|Overington JP (2006)
sermorelin,2692,11752352|14499707,Chen X (2002)|Esposito P (2003)
interferon alfa-n1,3454|3455,17016423|11752352|17139284|10822464|19955815,Imming P (2006)|Chen X (2002)|Overington JP (2006)|Krown SE (1987)|Ishii K (2009)
darbepoetin alfa,2057,11752352|16505108|17575216,Chen X (2002)|LaMontagne KR (2006)|Kokhaei P (2007)
