drugName,entrezGeneIds,pubmedId
sns-032,1022|1017|1025,
nifekalant,7421,
bisacodyl,9290|7253|1576|367,
pentachlorophenol,9971|216|51053|11069|6097|7421|9682|7253|7398|3248|4780|5347|196|7157,
az6089,2263,22869148
prednisone,348|2950|5788|7038|5243|2944|1559|1576|1544|367|7172|1557|1565|2908|4158|3028|301|2625|7298|3689|494514|3458|655|6387|1493|55816|552859|796|4155|7450|2938|29102,3185288|11186134|17063711|2745931|12175731|25637052|22931300|16044099|9112644|24141364|8976974|10784002|26590194|27173875|21228734|11475715|10612091|3146197|29938344|19448608|24614921
pyridazinone derivative 1,5027,
isoflavone,1571|632|1356,15056880|12793001|15754123
chembl576982,5159|1436|2322|5156|5979|3815,
dihydroxanthohumol,4137|57337|2740|26054|123228|4780|51053,
gnf-pf-3037,10002|2100|79915|11069|5423|5429|11201|317|6607|2185|6606,
hydroxyurea,1791|6241|3265|5741|641|1843|6240|1786|1356|4217|1576|1977|25,291471|12041671|3086384|6643680|18504617|15856297|2422298|9473738|23556445|17180388|10585489|7923130
sorafenib,369|5979|5600|3791|1432|2248|5159|3815|4067|2872|5894|3845|2321|2322|8444|51053|5599|7525|11183|207|1555|4233|673|7422|8289|2260|5156|4915|54600|2324|147746|4846|5597|1558|3654|1436|816|51776|10733|50488|1956|2261|9748|5601|558|5598|4914|5243|79623|3091|5777|3984|1969|5595|28996|6198|1559|4916|7124|6732|2064|6565|9212|5594|1024|6580|4893|5728|640|10599|1576|3162|5602|5603|6790|25|7428|1244|57551|4763|5596|5290|6300,24569458|20368568|20124951|22890726|28362716|18936790|20372153|25182707|25816720|24510746|20630084|25363205|22736425|29113912|25900027|19723655|22357254|17699867|19461405|22912756|25848357|18230792|23969938|22504184|21482694|22368270|22858906|23392356|23613521|24727320|20526349|27058899|26344591|25743214|19001320|18794803|28002790|23629727|26743856|24166906|26619011|22310681|19537845|14679157|18186519|12068308|25157968|20619739|20350999|21129611|17889720|19657110|16857985|17047150|23430109|24046014|15256420|23783394|23261068|11290608|22504185|23714533|20733134|14604974|17606455|22504183|23321257|15374878|26270481|31611591|22871485|19139124|24317392|17229632|22665524|20970876|27992451|72763|23532667|27213589|27533851|26309414|26318998|23237922|21517818|20538618|16880785|23792568|22394203|24885690|27388325|23224737|26307133|25294897|27480147|18849971|17664273|16507829|19671763
pf-4691502,5296|5288|5286|5294|30849|5291|5295|5293|146850|5290|2475|5289|5287|23533|8503,
jnj-7706621,5599|2869|3791|9212|3717|57787|2321|7297|4486|5562|3932|2932|1020|23683|5602|1196|2260|6790|57551|23235|7301|3984|3815|1025|6093|4233|5604|238|10645|2931|90|1613|1022|3718|9475|1436|4915|6098|6788|5979|120892|9833|7525|4140|6197|5871|5605|25|57396|10298,21106455
ag-538,5429|641|5423|10919|248|7486|26013|9099|3028|5965|328|246|249|1576|10951|11201|5300|51426|3091|3248|29994|390245|7421|9682|251|54737|5999|2237,
benserazide,10951|1644|10919|7421|5999,
bi-505,3383|558,
pantoprazole,495|1577|1557|5243|2641|4137|7421,18695978|15976989|7865648
bptes,3417|7428,21045145|24333121|28346230
pmid27539678-compound-11,8877,
oxazepam,1576|2567|55879|2561|2558|2569|2564|367|2560|2557|1557|54600|2566|2562|2556|706|200959|2555|2559|7364|2570|2563|2568|2554|7366|2565,15044558|29737521
