uniprotIdA,uniprotIdB,entrezGeneIdA,entrezGeneIdB,ensemblIdA,ensemblIdB,hgncSymbolA,hgncSymbolB,detectionMethod,interactionType,pubmedId,throughput,reliabilityScore
P06400,P29375,5925,5927,ENSG00000139687,ENSG00000073614,RB1,KDM5A,biochemical|anti bait coimmunoprecipitation,physical interaction|physical association,8414517|22615382,small scale,0.49
P09086,P20226,5452,6908,ENSG00000028277,ENSG00000112592,POU2F2,TBP,coimmunoprecipitation|biochemical,physical interaction,8202368,small scale,0.3
P22681,P46108,867,1398,ENSG00000110395,ENSG00000167193,CBL,CRK,experimental interaction detection,physical interaction,9178909,small scale,0.13
P06213,P27986,3643,5295,ENSG00000171105,ENSG00000145675,INSR,PIK3R1,two hybrid,physical interaction,7589433,small scale,0.22
P04049,P31946,5894,7529,ENSG00000132155,ENSG00000166913,RAF1,YWHAB,two hybrid,physical interaction,7935795,small scale,0.22
P15172,Q08999,4654,5934,ENSG00000129152,ENSG00000103479,MYOD1,RBL2,biochemical,physical interaction,9121766,small scale,0.25
P17947,Q08945,6688,6749,ENSG00000066336,ENSG00000149136,SPI1,SSRP1,experimental interaction detection,physical interaction,7594592,small scale,0.13
P25490,Q09472,7528,2033,ENSG00000100811,ENSG00000100393,YY1,EP300,biophysical,physical interaction,9199306,small scale,0.25
P36956,Q92793,6720,1387,ENSG00000072310,ENSG00000005339,SREBF1,CREBBP,pull down|experimental interaction detection,physical association|physical interaction,16799563|8918891,small scale,0.44
P15172,P15923,4654,6929,ENSG00000129152,ENSG00000071564,MYOD1,TCF3,biochemical,physical interaction,9184158,small scale,0.25
P15884,Q02535,6925,3399,ENSG00000196628,ENSG00000117318,TCF4,ID3,experimental interaction detection,physical interaction,8999959,small scale,0.13
P00519,Q13315,25,472,ENSG00000097007,ENSG00000149311,ABL1,ATM,pull down|two hybrid|anti bait coimmunoprecipitation,direct interaction|physical association,9168117,small scale,0.52
P02593,P35609,,88,,ENSG00000077522,,ACTN2,coimmunoprecipitation,physical interaction,9009191,small scale,0.25
P31314,Q15172,3195,5525,ENSG00000107807,ENSG00000066027,TLX1,PPP2R5A,coimmunoprecipitation,physical interaction,9009195,small scale,0.25
P08571,P18428,929,3929,ENSG00000170458,ENSG00000129988,CD14,LBP,biochemical,physical interaction,2402637,small scale,0.25
P10415,Q07812,596,581,ENSG00000171791,ENSG00000087088,BCL2,BAX,anti tag coimmunoprecipitation,physical association,18981409,small scale,0.37
P19438,Q15628,7132,8717,ENSG00000067182,ENSG00000102871,TNFRSF1A,TRADD,experimental interaction detection|anti tag coimmunoprecipitation|anti bait coimmunoprecipitation,physical interaction|physical association,9129204|23955153|19641494,small scale,0.54
P01584,P29466,3553,834,ENSG00000125538,ENSG00000137752,IL1B,CASP1,biochemical|protease assay,physical interaction|protein cleavage,8999548|19439663,small scale,0.38
P01350,P32239,2520,887,ENSG00000184502,ENSG00000110148,GAST,CCKBR,experimental interaction detection,physical interaction,8824290,small scale,0.13
P43405,Q15349,6850,6196,ENSG00000165025,ENSG00000071242,SYK,RPS6KA2,biochemical,physical interaction,9218456,small scale,0.25
P09874,P42574,142,836,ENSG00000143799,ENSG00000164305,PARP1,CASP3,protease assay,protein cleavage,7596430,small scale,0.25
P04637,Q00987,7157,4193,ENSG00000141510,ENSG00000135679,TP53,MDM2,biochemical|coimmunoprecipitation|anti tag coimmunoprecipitation|anti bait coimmunoprecipitation|isothermal titration calorimetry|x-ray crystallography|nuclear magnetic resonance|peptide array|experimental interaction detection|fluorescence polarization spectroscopy|molecular sieving|classical fluorescence spectroscopy|genetic interference|cosedimentation in solution|pull down,physical association|direct interaction|physical interaction|genetic interference,7926727|10321734|17470788|11278372|18172499|19234109|21857681|24207125|12529318|10608892|8875929|17438265|19255450|9529249|16432196|17080083|11070080|11223036|18316739|24667498|20173098,small scale,0.79
P20071,P42345,,2475,,ENSG00000198793,,MTOR,molecular sieving|biochemical|biophysical|experimental interaction detection,physical interaction,7539137,small scale,0.33
