#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Expansion method(s)	Biological role(s) interactor A	Biological role(s) interactor B	Experimental role(s) interactor A	Experimental role(s) interactor B	Type(s) interactor A	Type(s) interactor B	Xref(s) interactor A	Xref(s) interactor B	Interaction Xref(s)	Annotation(s) interactor A	Annotation(s) interactor B	Interaction annotation(s)	Host organism(s)	Interaction parameter(s)	Creation date	Update date	Checksum(s) interactor A	Checksum(s) interactor B	Interaction Checksum(s)	Negative	Feature(s) interactor A	Feature(s) interactor B	Stoichiometry(s) interactor A	Stoichiometry(s) interactor B	Identification method participant A	Identification method participant B
chebi:"CHEBI:28304"	uniprotkb:P15127	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Insr"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:P16310	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"GHR"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:P14740	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Dpp4"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:P05371	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"CLU"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:P14668	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Anxa5"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:P04157	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Ptprc"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:P04785	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"P4hb"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:Q5EBA8	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Slc46a1"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:Q6AXS5	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Serbp1"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:Q6P6T5	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Ocln"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
